id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1590456,[],Struthanthus hartwegii,(Benth.) Standl.,4003006.0,247175-2,
1590473,[],Struthanthus oerstedii,(Oliv.) Standl.,4002036.0,247199-2,
1590511,[],Struthanthus woodsonii,Cufod.,4004801.0,247228-2,
1373946,[],Senecio rhammatophyllus,Mattf.,3107092.0,247282-1,
1520808,[],Senecio rhizocephalus,Turcz.,8378652.0,247283-1,
1401982,[],Strychnos cayennensis,Krukoff & Barneby,5645591.0,247293-2,
1520814,"[""Riddell's groundsel"", ""Riddell's ragwort"", 'Sand groundsel']",Senecio riddellii,Torr. & A.Gray,3108671.0,247299-1,
1520827,[],Senecio roseiflorus,R.E.Fr.,3107608.0,247337-1,
1520833,[],Senecio royleanus,DC.,3107806.0,247359-1,
1520836,[],Senecio rudbeckiifolius,Meyen & Walp.,6063946.0,247364-1,
1403901,[],Stryphnodendron moricolor,Barneby & J.W.Grimes,2951720.0,247380-2,
1438741,['Coastal plain dawnflower'],Stylisma patens,(Desr.) Myint,2928458.0,247418-2,
1438743,['Hairy dawnflower'],Stylisma villosa,(Nash) House,2928467.0,247425-2,
1396206,"['Broad-leaved Ragwort', ""Saracen's Woundwort""]",Senecio sarracenicus,L.,7903764.0,247457-1,
1410079,['Quiebrahacha'],Stylogyne lateriflora,(Sw.) Mez,3169453.0,247461-2,
1402515,[],Stylogyne longifolia,(Mart. ex Miq.) Mez,3721913.0,247465-2,LC
1661568,[],Stylogyne turbacensis,(Kunth) Mez,7331069.0,247490-2,LC
1520878,[],Senecio schweinfurthii,O.Hoffm.,3109110.0,247509-1,
1410080,"['Cheesytoes', 'Caribbean stylo', 'Wild Clover']",Stylosanthes hamata,(L.) Taub.,2975756.0,247544-2,
1438113,"['Tall Ragwort', 'Butterweed groundsel', 'Tall butterweed']",Senecio serra,Hook.,8158683.0,247562-1,
1438760,"['American snowbell', 'Mock orange', 'Snowbell']",Styrax americanus,Lam.,5371669.0,247599-2,LC
1520911,['Magellan Ragwort'],Senecio smithii,DC.,3108356.0,247624-1,
1520920,"['Broom groundsel', 'Broom-like ragwort', 'Broomlike ragwort']",Senecio spartioides,Torr. & A.Gray,3107552.0,247669-1,
1373859,[],Senecio speciosus,Willd.,3107637.0,247677-1,
1423310,[],Senecio spinosus,DC.,4217662.0,247687-1,
1357867,"['Oxford ragwort', 'Oxford groundsel', 'زلف، گونه ای پیر گیاه', 'Ragwort', 'گل قاصدک']",Senecio squalidus,L.,3109117.0,247694-1,
1400443,[],Styrax sieberi,Perkins,5541393.0,247714-2,LC
1692723,[],Styrax warscewiczii,Perkins,5541088.0,247730-2,LC
1438773,"['Needle-Leaf Seepweed', 'Woolly seablite']",Suaeda taxifolia,(Standl.) Standl.,6447543.0,247785-2,
1357868,"['Heath groundsel', 'Wood groundsel', 'Woodland Ragwort', 'Heather groundsel', 'Woodland groundsel', 'Heath Groudsel', 'Mountain Groundsel']",Senecio sylvaticus,L.,3107987.0,247845-1,
1520972,[],Senecio syringifolius,O.Hoffm.,3107487.0,247852-1,
1373862,['Canary creeper'],Senecio tamoides,DC.,3107187.0,247873-1,
1413773,"['Arrowleaf butterweed', 'Arrowleaf groundsel', 'Arrow-Leaf Ragwort', 'Arrowleaf ragwort', 'Arrow-leaved ragwort', 'Arrow-leaved groundsel', 'Brook ragwort']",Senecio triangularis,Hook.,3108906.0,248014-1,
1438838,"['Horsesugar', 'Common sweetleaf', 'Sweetleaf', 'Yellowwood']",Symplocos tinctoria,(L.) L'Hér.,3032999.0,248040-2,LC
1708945,[],Synammia feuillei,(Bertero) Copel.,4023651.0,248061-2,
1564173,"['Synandra', 'Guyandotte-beauty']",Synandra hispidula,(Michx.) Baill.,5341425.0,248063-2,
1470386,[],Synechanthus warscewiczianus,H.Wendl.,2736134.0,248082-2,
1521045,[],Senecio umbrosus,Waldst. & Kit.,3108551.0,248108-1,
1521058,[],Senecio varicosus,L.f.,3108683.0,248153-1,
1541922,[],Syngonanthus chrysanthus,(Bong.) Ruhland,2689685.0,248159-2,
1396208,"['Eastern groundsel', 'Spring groundsel']",Senecio vernalis,Waldst. & Kit.,6063730.0,248179-1,
1736341,['Dusty-miller'],Senecio vira-vira,Hieron.,3107244.0,248213-1,
